rank,title,src,cover,up,PageViews,comments
1,最高法发布《规定》  规范综合治理类司法建议工作,http://politics.people.com.cn/n1/2023/1116/c1001-40119122.html,,,,
2,宏观调控如何更好发力?国家发展改革委解读经济热点问题,http://finance.people.com.cn/n1/2023/1116/c1004-40119917.html,,,,
3,黄河进入2023至2024年度凌汛期 水利部安排部署北方河流防凌工作,http://env.people.com.cn/n1/2023/1116/c1010-40119127.html,,,,
4,全国地下水质量总体稳定 华北平原地下水储存量增加28.62亿立方米,http://env.people.com.cn/n1/2023/1116/c1010-40119100.html,,,,
5,前9月 我国港口集装箱铁水联运量同比增长14.7%,http://finance.people.com.cn/n1/2023/1116/c1004-40119118.html,,,,
6,10月各线城市商品住宅销售价格环比下降 同比涨跌互现,http://finance.people.com.cn/n1/2023/1116/c1004-40119608.html,,,,
7,我国成功发射新一代海洋水色观测卫星01星,http://finance.people.com.cn/n1/2023/1116/c1004-40119732.html,,,,
8,数读中国|生产能力位居全球前列 我国医药工业发展动力强劲,http://health.people.com.cn/n1/2023/1116/c14739-40119293.html,,,,
9,首届学青会竞赛成绩亮眼 检验和深化体教融合改革,http://ent.people.com.cn/n1/2023/1116/c1012-40119592.html,,,,
10,59台新车全球首发 第二十一届广州国际汽车展览会即将启幕,http://finance.people.com.cn/n1/2023/1116/c1004-40119530.html,,,,
11,"世界胰腺癌日:从一组数字看如何应对""癌症之王""",http://health.people.com.cn/n1/2023/1116/c14739-40119533.html,,,,
12,联合国安理会通过关于加沙局势的决议,http://world.people.com.cn/n1/2023/1116/c1002-40119631.html,,,,
13,国家发展改革委:做好明年政策靠前发力的各项准备工作,http://finance.people.com.cn/n1/2023/1116/c1004-40119797.html,,,,
14,长江沿江省份积极探索生态产品价值实现机制,http://env.people.com.cn/n1/2023/1116/c1010-40119124.html,,,,
15,吉林镇赉县壮大特色产业 盐碱地变身稻香蟹肥的沃土良田,http://society.people.com.cn/n1/2023/1116/c1008-40119132.html,,,,
16,安徽加快建设文化强省 聚焦重点领域关键环节配套制定33个实施方案,http://finance.people.com.cn/n1/2023/1116/c1004-40119098.html,,,,
17,党的治藏方略在西藏的实践是中国式现代化的试验田,http://politics.people.com.cn/n1/2023/1116/c1001-40119120.html,,,,
18,智能电视操作系统(TVOS)5.0发布,#,,,,
19,前10个月全国一般公共预算收入同比增长8.1%,#,,,,
20,2023年中国经济社会论坛在京举行,http://finance.people.com.cn/n1/2023/1116/c1004-40119110.html,,,,
